graph,method,queryset,storage,size,hashes,trainingF1,testF1,creationTime,graphTime,summaryTime
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query1/,1350000,1335724,4,0.006410,0.006410,15.984000,8.747000,6.577000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query033/,1350000,1335724,4,0.012987,0.012987,15.984000,8.240000,1.415000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query01/,1350000,1335724,4,0.000000,0.000000,15.984000,8.647000,1.201000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query0033/,1350000,1335724,4,0.012987,0.012987,15.984000,7.909000,1.418000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query001/,1350000,1335724,4,0.000000,0.000000,15.984000,8.896000,5.632000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query1/,675000,672032,4,0.000000,0.000000,2.914000,8.966000,0.467000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query033/,675000,672032,4,0.000000,0.000000,2.914000,7.818000,0.239000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query01/,675000,672032,4,0.000000,0.000000,2.914000,7.895000,0.249000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query0033/,675000,672032,4,0.000000,0.000000,2.914000,7.800000,0.224000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query001/,675000,672032,4,0.000000,0.000000,2.914000,8.488000,0.360000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query1/,337500,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query033/,337500,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query01/,337500,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query0033/,337500,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query001/,337500,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query1/,168750,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query033/,168750,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query01/,168750,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query0033/,168750,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/query001/,168750,-1,4,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
/home/lukas/thesisdata/citation/graph,tcm,/home/lukas/thesisdata/citation/
